provincias;grupo_edad;sexo;poblacion_total
08 Barcelona;De 30 a 34 años;Hombres;121.608
08 Barcelona;De 30 a 34 años;Mujeres;118.842
08 Barcelona;De 35 a 39 años;Hombres;148.122
08 Barcelona;De 35 a 39 años;Mujeres;149.763
08 Barcelona;De 40 a 44 años;Hombres;198.830
08 Barcelona;De 40 a 44 años;Mujeres;198.363
08 Barcelona;De 45 a 49 años;Hombres;208.786
08 Barcelona;De 45 a 49 años;Mujeres;206.209
08 Barcelona;De 50 a 54 años;Hombres;189.557
08 Barcelona;De 50 a 54 años;Mujeres;191.504
08 Barcelona;De 55 a 59 años;Hombres;169.182
08 Barcelona;De 55 a 59 años;Mujeres;178.401
08 Barcelona;De 60 a 64 años;Hombres;148.213
08 Barcelona;De 60 a 64 años;Mujeres;164.745
08 Barcelona;De 65 a 69 años;Hombres;125.400
08 Barcelona;De 65 a 69 años;Mujeres;145.643
08 Barcelona;De 70 a 74 años  ;Hombres;114.820
08 Barcelona;De 70 a 74 años  ;Mujeres;139.901
08 Barcelona;De 75 a 79 años  ;Hombres;88.695
08 Barcelona;De 75 a 79 años  ;Mujeres;114.905
08 Barcelona;De 80 a 84 años  ;Hombres;59.176
08 Barcelona;De 80 a 84 años  ;Mujeres;87.160
08 Barcelona;De 85 a 89 años  ;Hombres;40.532
08 Barcelona;De 85 a 89 años  ;Mujeres;73.316
08 Barcelona;90 y más años;Hombres;18.087
08 Barcelona;90 y más años;Mujeres;47.459
48 Bizkaia;De 0 a 4 años;Hombres;19.243
48 Bizkaia;De 0 a 4 años;Mujeres;18.024
48 Bizkaia;De 5 a 9 años;Hombres;24.532
48 Bizkaia;De 5 a 9 años;Mujeres;23.523
48 Bizkaia;De 10 a 14 años  ;Hombres;27.023
48 Bizkaia;De 10 a 14 años  ;Mujeres;25.477
48 Bizkaia;De 15 a 19 años  ;Hombres;25.397
48 Bizkaia;De 15 a 19 años  ;Mujeres;24.085
48 Bizkaia;De 20 a 24 años;Hombres;22.489
48 Bizkaia;De 20 a 24 años;Mujeres;21.324
48 Bizkaia;De 25 a 29 años;Hombres;21.689
48 Bizkaia;De 25 a 29 años;Mujeres;20.720
48 Bizkaia;De 30 a 34 años;Hombres;24.227
48 Bizkaia;De 30 a 34 años;Mujeres;23.640
48 Bizkaia;De 35 a 39 años;Hombres;31.409
48 Bizkaia;De 35 a 39 años;Mujeres;30.818
48 Bizkaia;De 40 a 44 años;Hombres;42.022
48 Bizkaia;De 40 a 44 años;Mujeres;41.278
48 Bizkaia;De 45 a 49 años;Hombres;44.510
48 Bizkaia;De 45 a 49 años;Mujeres;43.850
48 Bizkaia;De 50 a 54 años;Hombres;43.107
48 Bizkaia;De 50 a 54 años;Mujeres;43.493
48 Bizkaia;De 55 a 59 años;Hombres;42.194
48 Bizkaia;De 55 a 59 años;Mujeres;44.599
48 Bizkaia;De 60 a 64 años;Hombres;38.840
48 Bizkaia;De 60 a 64 años;Mujeres;42.107
48 Bizkaia;De 65 a 69 años;Hombres;31.688
48 Bizkaia;De 65 a 69 años;Mujeres;35.633
48 Bizkaia;De 70 a 74 años  ;Hombres;28.232
48 Bizkaia;De 70 a 74 años  ;Mujeres;33.878
48 Bizkaia;De 75 a 79 años  ;Hombres;21.277
